chapter,en_path,ko_path,ko_exists,en_estimated_keys,ko_estimated_keys,shared_estimated_keys,missing_in_ko_estimated,ko_only_estimated
achapter_2r_6the_atm_star,config/ftbquests/quests/lang/en_us/chapters/achapter_2r_6the_atm_star.snbt_merged,config/ftbquests/quests/lang/ko_kr/chapters/achapter_2r_6the_atm_star.snbt_merged,True,76,76,76,0,0
aether,config/ftbquests/quests/lang/en_us/chapters/aether.snbt_merged,config/ftbquests/quests/lang/ko_kr/chapters/aether.snbt_merged,False,161,0,0,161,0
allthemodium,config/ftbquests/quests/lang/en_us/chapters/allthemodium.snbt_merged,config/ftbquests/quests/lang/ko_kr/chapters/allthemodium.snbt_merged,True,116,116,116,0,0
apotheosis_2,config/ftbquests/quests/lang/en_us/chapters/apotheosis_2.snbt_merged,config/ftbquests/quests/lang/ko_kr/chapters/apotheosis_2.snbt_merged,True,70,40,40,30,0
apotheosis_gear,config/ftbquests/quests/lang/en_us/chapters/apotheosis_gear.snbt_merged,config/ftbquests/quests/lang/ko_kr/chapters/apotheosis_gear.snbt_merged,False,65,0,0,65,0
apothic_enchanting,config/ftbquests/quests/lang/en_us/chapters/apothic_enchanting.snbt_merged,config/ftbquests/quests/lang/ko_kr/chapters/apothic_enchanting.snbt_merged,True,104,54,54,50,0
applied_energistics_2,config/ftbquests/quests/lang/en_us/chapters/applied_energistics_2.snbt_merged,config/ftbquests/quests/lang/ko_kr/chapters/applied_energistics_2.snbt_merged,True,173,171,171,2,0
ars_nouveau,config/ftbquests/quests/lang/en_us/chapters/ars_nouveau.snbt_merged,config/ftbquests/quests/lang/ko_kr/chapters/ars_nouveau.snbt_merged,True,76,76,76,0,0
artifacts,config/ftbquests/quests/lang/en_us/chapters/artifacts.snbt_merged,config/ftbquests/quests/lang/ko_kr/chapters/artifacts.snbt_merged,True,149,149,149,0,0
basic_armor,config/ftbquests/quests/lang/en_us/chapters/basic_armor.snbt_merged,config/ftbquests/quests/lang/ko_kr/chapters/basic_armor.snbt_merged,True,347,347,347,0,0
basic_logistics,config/ftbquests/quests/lang/en_us/chapters/basic_logistics.snbt_merged,config/ftbquests/quests/lang/ko_kr/chapters/basic_logistics.snbt_merged,True,76,73,73,3,0
basic_power,config/ftbquests/quests/lang/en_us/chapters/basic_power.snbt_merged,config/ftbquests/quests/lang/ko_kr/chapters/basic_power.snbt_merged,True,95,87,87,8,0
basic_tools,config/ftbquests/quests/lang/en_us/chapters/basic_tools.snbt_merged,config/ftbquests/quests/lang/ko_kr/chapters/basic_tools.snbt_merged,True,109,109,109,0,0
bounty_board,config/ftbquests/quests/lang/en_us/chapters/bounty_board.snbt_merged,config/ftbquests/quests/lang/ko_kr/chapters/bounty_board.snbt_merged,True,56,56,56,0,0
building_tips,config/ftbquests/quests/lang/en_us/chapters/building_tips.snbt_merged,config/ftbquests/quests/lang/ko_kr/chapters/building_tips.snbt_merged,True,255,239,239,16,0
bumblezone,config/ftbquests/quests/lang/en_us/chapters/bumblezone.snbt_merged,config/ftbquests/quests/lang/ko_kr/chapters/bumblezone.snbt_merged,True,189,189,189,0,0
cataclysm,config/ftbquests/quests/lang/en_us/chapters/cataclysm.snbt_merged,config/ftbquests/quests/lang/ko_kr/chapters/cataclysm.snbt_merged,True,202,175,175,27,0
chapter_2_the_star,config/ftbquests/quests/lang/en_us/chapters/chapter_2_the_star.snbt_merged,config/ftbquests/quests/lang/ko_kr/chapters/chapter_2_the_star.snbt_merged,True,243,220,220,23,0
create,config/ftbquests/quests/lang/en_us/chapters/create.snbt_merged,config/ftbquests/quests/lang/ko_kr/chapters/create.snbt_merged,True,190,45,45,145,0
deeper_and_darker,config/ftbquests/quests/lang/en_us/chapters/deeper_and_darker.snbt_merged,config/ftbquests/quests/lang/ko_kr/chapters/deeper_and_darker.snbt_merged,False,91,0,0,91,0
draconic_evolution,config/ftbquests/quests/lang/en_us/chapters/draconic_evolution.snbt_merged,config/ftbquests/quests/lang/ko_kr/chapters/draconic_evolution.snbt_merged,False,258,0,0,258,0
elmystical_agriculturerr,config/ftbquests/quests/lang/en_us/chapters/elmystical_agriculturerr.snbt_merged,config/ftbquests/quests/lang/ko_kr/chapters/elmystical_agriculturerr.snbt_merged,True,257,257,257,0,0
