jar,bytes,status,namespaces,namespace_count,has_en_us,has_ko_kr,classification,error
[1.21.1] SecurityCraft v1.10.2.1.jar,5193371,ok,securitycraft,1,True,True,en_and_ko,
[Neoforge]ctov-3.6.3.jar,7139609,ok,ctov,1,True,True,en_and_ko,
accelerated-decay-neoforge-21.0.0.jar,10478,ok,accelerateddecay,1,True,False,en_only,
actuallyadditions-1.3.26+mc1.21.1.jar,3217309,ok,actuallyadditions,1,True,False,en_only,
Ad-Astra-Giselle-Addon-neoforge-1.21.1-8.1.jar,486266,ok,ad_astra_giselle_addon,1,True,True,en_and_ko,
adastra-1.21.1-1.16.19-neoforge.jar,7300701,ok,ad_astra,1,True,True,en_and_ko,
additional_lights-neoforge-1.21-2.1.10.jar,514194,ok,additional_lights,1,True,True,en_and_ko,
AdditionalEnchantedMiner-1.21.1-neoforge-21.1.162.jar,733039,ok,quarryplus,1,True,True,en_and_ko,
AdvancedAE-1.6.12-1.21.1.jar,4791255,ok,advanced_ae,1,True,True,en_and_ko,
AdvancedPeripherals-1.21.1-0.8.0a.jar,1529824,ok,advancedperipherals,1,True,True,en_and_ko,
ae2ct-1.21.1-1.1.1.jar,437906,ok,ae2ct,1,True,False,en_only,
ae2importexportcard-1.21.1-1.6.0.jar,429194,ok,ae2importexportcard,1,True,True,en_and_ko,
ae2jeiintegration-1.2.1.jar,91710,ok,,0,False,False,no_target_language_file,
AE2NetworkAnalyzer-1.21-2.1.5-neoforge.jar,1686091,ok,ae2netanalyser,1,True,False,en_only,
ae2wtlib-19.5.1.jar,252091,ok,ae2wtlib,1,True,True,en_and_ko,
aeinfinitybooster-neoforge-1.21.1-1.0.0.58.jar,30454,ok,aeinfinitybooster,1,True,True,en_and_ko,
aether-1.21.1-1.5.10-neoforge.jar,40223909,ok,aether,1,True,True,en_and_ko,
AI-Improvements-1.21-0.5.3.jar,28984,ok,,0,False,False,no_target_language_file,
AkashicTome-1.8-30.jar,50256,ok,akashictome,1,True,True,en_and_ko,
allthearcanistgear-1.21.1-21.3.2.jar,375904,ok,allthearcanistgear,1,True,False,en_only,
allthecompressed-1.21.1-4.4.0.jar,5901446,ok,allthecompressed,1,True,True,en_and_ko,
alltheleaks-1.1.12+1.21.1-neoforge.jar,562895,ok,,0,False,False,no_target_language_file,
allthemodium-3.0.1_mc_1.21.1.jar,1966440,ok,allthemodium,1,True,False,en_only,
alltheores-3.2.0_neoforge_1.21.1.jar,1645297,ok,alltheores,1,True,True,en_and_ko,
allthetweaks-1.21.1-2.9.4.jar,4919090,ok,allthetweaks,1,True,True,en_and_ko,
allthewizardgear-1.21.1-1.2.0.jar,125549,ok,allthewizardgear,1,True,True,en_and_ko,
almostunified-neoforge-1.21.1-1.4.2.jar,295093,ok,almostunified,1,True,False,en_only,
amendments-1.21-2.1.9-neoforge.jar,1160337,ok,amendments,1,True,True,en_and_ko,
Apotheosis-1.21.1-8.7.0.jar,7142458,ok,apotheosis,1,True,True,en_and_ko,
ApothicAttributes-1.21.1-2.10.1.jar,323264,ok,apothic_attributes,1,True,True,en_and_ko,
ApothicEnchanting-1.21.1-1.6.1.jar,5412607,ok,apothic_enchanting,1,True,True,en_and_ko,
ApothicSpawners-1.21.1-1.4.0.jar,129784,ok,apothic_spawners,1,True,False,en_only,
appleskin-neoforge-mc1.21-3.0.9.jar,75804,ok,appleskin,1,True,True,en_and_ko,
Applied-Mekanistics-1.6.3.jar,149709,ok,appmek,1,True,True,en_and_ko,
appliedenergistics2-19.2.17.jar,8230896,ok,ae2,1,True,True,en_and_ko,
AppliedFlux-1.21-2.1.5-neoforge.jar,345117,ok,appflux,1,True,False,en_only,
Aquaculture-1.21.1-2.7.21.jar,605949,ok,aquaculture,1,True,True,en_and_ko,
architectury-13.0.11-neoforge.jar,584734,ok,,0,False,False,no_target_language_file,
ars_additions-1.21.1-21.3.0.jar,1458261,ok,ars_additions,1,True,False,en_only,
ars_controle-1.21.1-1.6.15.jar,316368,ok,ars_controle,1,True,True,en_and_ko,
ars_creo-1.21.1-5.4.0.jar,95973,ok,ars_creo,1,True,False,en_only,
ars_elemancy-1.21.1-1.18.3.jar,792016,ok,ars_elemancy,1,True,True,en_and_ko,
ars_elemental-1.21.1-0.7.10.1.jar,2260550,ok,ars_elemental,1,True,True,en_and_ko,
ars_nouveau-1.21.1-5.13.1.jar,20107711,ok,ars_nouveau,1,True,True,en_and_ko,
ars_ocultas-1.21.1-2.6.1.jar,85133,ok,ars_ocultas,1,True,False,en_only,
ars_polymorphia-1.0.3.jar,20201,ok,,0,False,False,no_target_language_file,
ars_technica-1.21.1-2.7.6.jar,3691171,ok,ars_technica,1,True,False,en_only,
ars_unification-1.2.20.jar,105944,ok,ars_unification,1,True,False,en_only,
arseng-2.1.1-beta.jar,123229,ok,arseng,1,True,False,en_only,
artifacts-neoforge-13.2.3.jar,1086882,ok,artifacts,1,True,True,en_and_ko,
athena-neoforge-1.21.1-4.0.6.jar,99944,ok,,0,False,False,no_target_language_file,
atlas_api-1.21.1-1.2.0.jar,28419,ok,,0,False,False,no_target_language_file,
attributefix-neoforge-1.21.1-21.1.3.jar,19809,ok,,0,False,False,no_target_language_file,
auroral-1.21.1-1.1.1.jar,2108786,ok,auroral,1,True,False,en_only,
Auroras-1.21-1.6.2.jar,2116122,ok,auroras,1,True,False,en_only,
balm-neoforge-1.21.1-21.0.65.jar,783793,ok,balm,1,True,False,en_only,
baubley-heart-canisters-1.21.1-1.4.1.jar,172210,ok,bhc,1,True,True,en_and_ko,
bellsandwhistles-0.4.7-1.21.1.jar,193619,ok,bellsandwhistles,1,True,True,en_and_ko,
better-advanced-tooltips-2101.1.0-build.5.jar,37653,ok,betteradvancedtooltips,1,True,False,en_only,
better-compatability-checker-neoforge-21.1.8.jar,25085,ok,bcc,1,True,False,en_only,
BetterAdvancements-NeoForge-1.21.1-0.4.3.21.jar,98641,ok,betteradvancements,1,True,False,en_only,
bibliobiomes-1.21.1-1.6.1.jar,20181755,ok,bibliobiomes,1,True,False,en_only,
bibliocraft-1.21.1-1.6.5.jar,5471083,ok,bibliocraft,1,True,False,en_only,
bibliowoods-1.21.1-1.6.2.jar,23234306,ok,bibliowoods,1,True,False,en_only,
blockui-1.0.211-1.21.1-snapshot.jar,468147,ok,blockui,1,True,False,en_only,
blueflame-1.21.1-1.1.1.jar,17921,ok,,0,False,False,no_target_language_file,
